Year,Date,RegionCode,RegionName,NERC,UtilitiesWithOutage,Outages,CI,CMI
2023,2023-12-25,4,Midwest,MRO,1,8,4333,640735.401
2023,2023-12-25,7,Northwest,WECC,1,136,46993,17190408.78
2023,2023-12-18,1,Northeast,NPCC,2,1647,286711,218459213.7
2023,2023-12-18,2,Mid-Atlantic,RFC,3,894,123698,52205746
2023,2023-12-17,3,Southeast,FRCC,1,654,41973,5369639.75
2023,2023-12-04,7,Northwest,,1,11,4785,1177633.83
2023,2023-11-27,4,Midwest,MRO,1,2,9958,474176.3
2023,2023-11-11,7,Northwest,WECC,2,682,200026,71250073.38
2023,2023-11-10,7,Northwest,WECC,1,151,102885,46707992.31
2023,2023-11-05,7,Northwest,WECC,1,61,47927,13469669.76
2023,2023-11-04,5,Southwest,WECC,1,23,31110,5993757.6
2023,2023-10-31,4,Midwest,RFC,1,576,57573,51079361
2023,2023-10-25,7,Northwest,WECC,1,208,26936,13581748.17
2023,2023-10-24,7,Northwest,WECC,1,149,62580,18527036.21
2023,2023-10-12,3,Southeast,FRCC,1,399,20696,4602006.8
2023,2023-10-04,4,Midwest,MRO,1,14,2072,416194.2
2023,2023-10-04,6,South,SPP RE,1,155,10578,2632451
2023,2023-10-03,4,Midwest,MRO,1,15,863,301475.8
2023,2023-09-29,4,Midwest,MRO,1,36,3940,362743.8
2023,2023-09-25,6,South,SPP RE,1,530,18348,13236512
2023,2023-09-25,7,Northwest,,1,8,8452,1980331.71
2023,2023-09-24,6,South,SPP RE,1,432,38711,20033847
2023,2023-09-20,6,South,SPP RE,1,176,74624,18163145
2023,2023-09-12,5,Southwest,WECC,1,82,35591,8459609
2023,2023-09-09,2,Mid-Atlantic,RFC,1,226,15215,4599757
2023,2023-09-09,5,Southwest,WECC,1,179,75065,39625167
2023,2023-09-08,1,Northeast,NPCC,1,355,65525,84242750
2023,2023-09-07,1,Northeast,NPCC,1,269,50586,28537881
2023,2023-09-07,2,Mid-Atlantic,RFC,3,1010,99320,39255809
2023,2023-09-02,3,Southeast,FRCC,1,280,6716,4770208.45
2023,2023-08-31,3,Southeast,FRCC,1,279,9162,5017950.43
2023,2023-08-31,5,Southwest,WECC,1,247,92770,8013531
2023,2023-08-30,3,Southeast,FRCC,1,2287,127733,163418817.7
2023,2023-08-27,6,South,SPP RE,1,317,33769,22776684
2023,2023-08-26,2,Mid-Atlantic,RFC,1,120,7223,8922257
2023,2023-08-25,2,Mid-Atlantic,RFC,4,2187,308625,365262599
2023,2023-08-25,4,Midwest,RFC,2,1490,83898,99338784.77
2023,2023-08-24,2,Mid-Atlantic,RFC,2,482,36376,22452190
2023,2023-08-24,4,Midwest,RFC,2,5158,510618,982869819.4
2023,2023-08-23,2,Mid-Atlantic,RFC,1,268,36437,21546802
2023,2023-08-22,6,South,TRE,1,565,52915,9122909
2023,2023-08-14,6,South,SPP RE,1,271,15334,2933542
2023,2023-08-13,2,Mid-Atlantic,RFC,1,212,17209,9848851
2023,2023-08-12,2,Mid-Atlantic,RFC,2,288,33712,10669273
2023,2023-08-12,6,South,SERC,1,460,23164,5288706
2023,2023-08-11,6,South,SPP RE,1,160,11262,3897570
2023,2023-08-08,2,Mid-Atlantic,RFC,1,245,11726,4375686
2023,2023-08-07,2,Mid-Atlantic,RFC,5,1799,178967,154669720
2023,2023-08-07,4,Midwest,RFC,1,461,31137,8322050.19
2023,2023-08-07,5,Southwest,SPP RE,1,98,11795,2058474.53
2023,2023-08-03,6,South,SERC,1,533,20069,6002213
2023,2023-08-02,6,South,SERC,1,460,35929,16708577
2023,2023-07-31,6,South,SERC,1,205,32079,7807171
2023,2023-07-31,6,South,SPP RE,1,745,37121,8224862
2023,2023-07-30,6,South,SERC,1,407,9399,4214508
2023,2023-07-30,6,South,SPP RE,1,1139,92312,36162688
2023,2023-07-29,2,Mid-Atlantic,RFC,1,556,31840,20518526
2023,2023-07-29,4,Midwest,MRO,1,16,3886,656682.355
2023,2023-07-29,4,Midwest,RFC,3,1316,93135,42368042.18
2023,2023-07-29,4,Midwest,SERC,1,1012,71254,36262364
2023,2023-07-29,6,South,SERC,1,1687,125538,83663530
2023,2023-07-28,2,Mid-Atlantic,RFC,2,1342,94687,89301178
2023,2023-07-28,4,Midwest,MRO,2,164,18419,8128370.862
2023,2023-07-28,4,Midwest,RFC,1,907,109622,35379680
2023,2023-07-28,4,Midwest,SERC,1,223,12237,5159754
2023,2023-07-27,4,Midwest,MRO,1,134,13521,5534320.15
2023,2023-07-27,4,Midwest,RFC,1,655,67111,52212708.28
2023,2023-07-26,2,Mid-Atlantic,RFC,1,299,36998,27967189
2023,2023-07-26,4,Midwest,MRO,1,418,31391,6460726.6
2023,2023-07-26,4,Midwest,RFC,3,3890,317452,486014538.5
2023,2023-07-26,5,Southwest,WECC,1,128,51400,4420289
2023,2023-07-25,4,Midwest,MRO,2,130,21710,6947171.797
2023,2023-07-24,2,Mid-Atlantic,RFC,1,298,37523,11611350
2023,2023-07-24,4,Midwest,MRO,1,76,7793,3560337.65
2023,2023-07-20,2,Mid-Atlantic,RFC,4,914,147391,66290833
2023,2023-07-20,4,Midwest,RFC,1,1770,129454,136161041.9
2023,2023-07-19,4,Midwest,MRO,2,420,63020,17920717.96
2023,2023-07-17,6,South,SERC,1,622,26481,5479473
2023,2023-07-16,6,South,SERC,2,915,59729,22720141
2023,2023-07-16,6,South,SPP RE,1,509,55288,33754710
2023,2023-07-15,6,South,SPP RE,1,793,25381,19558577
2023,2023-07-14,4,Midwest,RFC,1,404,53962,14434502.4
2023,2023-07-14,4,Midwest,SERC,1,274,20511,4322201
2023,2023-07-14,6,South,SERC,1,728,46598,31953275
2023,2023-07-14,6,South,SPP RE,1,2772,251809,212101207
2023,2023-07-13,2,Mid-Atlantic,RFC,1,129,17359,7304302
2023,2023-07-12,6,South,SERC,1,457,34539,11684030
2023,2023-07-09,6,South,SPP RE,1,203,19673,4765942
2023,2023-07-05,4,Midwest,RFC,1,396,38875,4754789.85
2023,2023-07-05,6,South,SPP RE,1,953,55283,11969704
2023,2023-07-04,6,South,SERC,1,338,12782,4255087
2023,2023-07-03,4,Midwest,RFC,1,399,9983,6927178.28
2023,2023-07-03,6,South,SERC,1,337,10813,6743968
2023,2023-07-02,4,Midwest,RFC,2,881,26279,15145444.48
2023,2023-07-02,4,Midwest,SERC,1,863,15949,13950723
2023,2023-07-02,6,South,SERC,1,802,30657,31335240
2023,2023-07-01,4,Midwest,RFC,2,946,47791,40238273.88
2023,2023-07-01,4,Midwest,SERC,1,1175,46655,42933211
2023,2023-07-01,6,South,SERC,1,2310,124981,218677251
2023,2023-06-30,4,Midwest,RFC,2,893,44625,76097629.55
2023,2023-06-30,4,Midwest,SERC,1,1164,57535,104430705
2023,2023-06-30,6,South,SERC,1,459,24385,19167053
2023,2023-06-30,6,South,SPP RE,1,436,35001,8466358
2023,2023-06-29,4,Midwest,RFC,2,2955,311792,419715696.2
2023,2023-06-29,4,Midwest,SERC,1,2945,216816,321445631
2023,2023-06-26,2,Mid-Atlantic,RFC,2,413,79106,29589688
2023,2023-06-26,4,Midwest,RFC,1,1031,45521,30722429.53
2023,2023-06-26,6,South,SERC,1,646,17848,14887186
2023,2023-06-26,6,South,SPP RE,1,600,40820,15907027
2023,2023-06-25,3,Southeast,,1,60,406,951193
2023,2023-06-25,4,Midwest,RFC,3,2603,173657,121638927.6
2023,2023-06-24,4,Midwest,MRO,1,366,39977,8524035.54
2023,2023-06-24,6,South,SPP RE,1,171,5484,2509514
2023,2023-06-23,6,South,SPP RE,2,603,36431,26278479
2023,2023-06-22,6,South,SPP RE,1,237,11167,13121514
2023,2023-06-21,6,South,SERC,1,215,50319,17829223
2023,2023-06-21,6,South,SPP RE,2,718,35975,30309407
2023,2023-06-20,6,South,SPP RE,2,729,27186,26313448
2023,2023-06-19,6,South,SERC,1,773,15449,51552024
2023,2023-06-19,6,South,SPP RE,2,774,38660,116212164
2023,2023-06-18,6,South,SPP RE,2,1816,267613,1006981292
2023,2023-06-17,6,South,SERC,1,113,25321,7064407
2023,2023-06-17,6,South,SPP RE,2,453,34670,70858150
2023,2023-06-16,3,Southeast,SERC,1,617,59705,141197649
2023,2023-06-16,6,South,SERC,1,599,26894,20547171
2023,2023-06-16,6,South,SPP RE,1,1381,268790,914362513
2023,2023-06-15,2,Mid-Atlantic,RFC,2,235,30609,35515231
2023,2023-06-15,5,Southwest,SPP RE,1,59,4956,11632959.93
2023,2023-06-15,6,South,SPP RE,2,290,33348,30756973
2023,2023-06-14,3,Southeast,SERC,1,446,21884,41970332
2023,2023-06-14,6,South,SERC,1,556,35973,8678656
2023,2023-06-10,3,Southeast,SERC,1,311,18557,10852108
2023,2023-06-10,6,South,SPP RE,1,524,42852,28564958
2023,2023-06-08,4,Midwest,MRO,1,4,10108,887367.7
2023,2023-06-08,5,Southwest,SPP RE,1,65,4202,5377696.01
2023,2023-06-03,2,Mid-Atlantic,RFC,1,170,16415,5180971
2023,2023-06-03,6,South,SPP RE,1,416,29226,16485729
2023,2023-05-31,4,Midwest,RFC,1,193,36321,20392213.92
2023,2023-05-24,5,Southwest,SPP RE,1,94,8838,6196196.75
2023,2023-05-23,6,South,SERC,1,134,20102,13971662
2023,2023-05-13,6,South,TRE,1,612,45823,10417818
2023,2023-05-09,3,Southeast,SERC,1,86,5669,19595800
2023,2023-05-09,6,South,TRE,1,461,32684,7616285
2023,2023-05-08,6,South,SERC,1,273,19674,7328585
2023,2023-05-07,4,Midwest,SERC,1,613,46278,15630277
2023,2023-05-06,6,South,SERC,1,373,31856,6992651
2023,2023-05-02,3,Southeast,SERC,1,70,4330,17400474
2023,2023-05-01,6,South,TRE,1,404,7480,5793621
2023,2023-04-30,6,South,TRE,1,317,13671,10806788
2023,2023-04-29,6,South,TRE,1,1164,195570,151813812
2023,2023-04-27,3,Southeast,FRCC,1,507,35343,5757385.21
2023,2023-04-23,6,South,TRE,1,597,65327,13284838
2023,2023-04-22,2,Mid-Atlantic,RFC,2,500,50629,15868926
2023,2023-04-20,4,Midwest,MRO,1,85,10865,2442275
2023,2023-04-19,4,Midwest,MRO,1,52,17705,1296385.4
2023,2023-04-17,4,Midwest,MRO,1,109,8214,3441177.86
2023,2023-04-16,4,Midwest,MRO,1,81,6438,3617339.63
2023,2023-04-15,4,Midwest,SERC,1,279,19693,7869836
2023,2023-04-15,6,South,SERC,1,522,54061,20142219
2023,2023-04-02,2,Mid-Atlantic,RFC,1,76,1059,1791641
2023,2023-04-02,6,South,SPP RE,1,304,23406,14696729
2023,2023-04-01,1,Northeast,NPCC,1,234,27042,12359995
2023,2023-04-01,2,Mid-Atlantic,RFC,16,7833,891110,571876619.6
2023,2023-04-01,4,Midwest,MRO,2,1380,138423,68494110.4
2023,2023-04-01,4,Midwest,RFC,1,488,22614,9578896.42
2023,2023-03-31,4,Midwest,MRO,1,229,24385,12542395.66
2023,2023-03-31,4,Midwest,RFC,4,1363,152819,98377839.09
2023,2023-03-31,4,Midwest,SERC,1,661,62685,19479033
2023,2023-03-31,5,Southwest,WECC,1,227,32018,6837866.22
2023,2023-03-31,6,South,SERC,1,426,21611,6830994
2023,2023-03-31,6,South,SPP RE,2,1007,66629,10537233
2023,2023-03-26,2,Mid-Atlantic,RFC,1,204,4480,6314247
2023,2023-03-25,2,Mid-Atlantic,RFC,11,6679,752574,621115723.9
2023,2023-03-25,4,Midwest,RFC,1,871,43601,24806713.49
2023,2023-03-21,5,Southwest,WECC,1,1090,463351,249329478
2023,2023-03-15,5,Southwest,WECC,1,103,25852,6024985.28
2023,2023-03-14,1,Northeast,NPCC,2,1431,210586,91170211
2023,2023-03-14,5,Southwest,WECC,1,1216,516911,419423059
2023,2023-03-09,5,Southwest,WECC,1,397,112065,101146284
2023,2023-03-07,2,Mid-Atlantic,RFC,1,347,16847,6002647
