Year,RegionCode,RegionName,NERC,UtilityCount,Customers
2023,1,Northeast,NPCC,3,3514494
2023,2,Mid-Atlantic,RFC,19,12828766
2023,3,Southeast,,1,215958
2023,3,Southeast,FRCC,1,1982643
2023,3,Southeast,SERC,1,466211
2023,4,Midwest,MRO,7,2939813
2023,4,Midwest,RFC,7,10959568
2023,4,Midwest,SERC,1,1249587
2023,5,Southwest,SPP RE,2,633326
2023,5,Southwest,WECC,6,11366944
2023,6,South,SERC,6,3858204
2023,6,South,SPP RE,3,2788244
2023,6,South,TRE,1,1099391
2023,7,Northwest,,1,22553
2023,7,Northwest,WECC,4,4728553
2022,0,Multiple or Unknown,WECC,2,2048818
2022,1,Northeast,NPCC,3,3506049
2022,2,Mid-Atlantic,RFC,19,12754776
2022,2,Mid-Atlantic,SERC,2,1018004
2022,3,Southeast,,1,213804
2022,3,Southeast,FRCC,1,1924499
2022,3,Southeast,SERC,1,465591
2022,4,Midwest,MRO,7,2908148
2022,4,Midwest,RFC,7,10897912
2022,4,Midwest,SERC,1,1251346
2022,5,Southwest,SPP RE,2,642959
2022,5,Southwest,WECC,6,11253715
2022,6,South,SERC,6,3834222
2022,6,South,SPP RE,3,2765394
2022,6,South,TRE,1,1090914
2022,7,Northwest,,1,22304
2022,7,Northwest,WECC,4,4663134
2021,0,Multiple or Unknown,WECC,2,2019764
2021,1,Northeast,NPCC,3,3494086
2021,2,Mid-Atlantic,RFC,20,14136214
2021,2,Mid-Atlantic,SERC,2,1012088
2021,3,Southeast,,1,211141
2021,3,Southeast,FRCC,1,1902535
2021,3,Southeast,SERC,1,464740
2021,4,Midwest,MRO,7,2864437
2021,4,Midwest,RFC,7,10839172
2021,4,Midwest,SERC,1,1251487
2021,5,Southwest,SPP RE,2,645749
2021,5,Southwest,WECC,6,11141649
2021,6,South,SERC,6,3817212
2021,6,South,SPP RE,3,2743284
2021,6,South,TRE,1,1079632
2021,7,Northwest,,1,22117
2021,7,Northwest,WECC,4,4604521
2020,0,Multiple or Unknown,WECC,2,1982346
2020,1,Northeast,NPCC,3,3478416
2020,2,Mid-Atlantic,RFC,21,15645419
2020,2,Mid-Atlantic,SERC,2,998455
2020,3,Southeast,,1,209770
2020,3,Southeast,FRCC,1,1898536
2020,3,Southeast,SERC,1,461025
2020,4,Midwest,MRO,7,2832802
2020,4,Midwest,RFC,7,10778667
2020,4,Midwest,SERC,1,1249150
2020,5,Southwest,SPP RE,2,637060
2020,5,Southwest,WECC,8,17507690
2020,6,South,SERC,6,3785818
2020,6,South,SPP RE,3,2685436
2020,6,South,TRE,1,1064875
2020,7,Northwest,,1,21852
2020,7,Northwest,WECC,5,5132010
2019,0,Multiple or Unknown,WECC,2,1976599
2019,1,Northeast,NPCC,3,3464724
2019,2,Mid-Atlantic,RFC,22,17909801
2019,2,Mid-Atlantic,SERC,2,989148
2019,3,Southeast,,1,208395
2019,3,Southeast,FRCC,1,1871645
2019,3,Southeast,SERC,1,456486
2019,4,Midwest,MRO,7,2795672
2019,4,Midwest,RFC,7,10708500
2019,4,Midwest,SERC,1,1244558
2019,4,Midwest,WECC,1,72064
2019,5,Southwest,SPP RE,2,629590
2019,5,Southwest,WECC,9,17417271
2019,6,South,SERC,6,3745101
2019,6,South,SPP RE,3,2701212
2019,6,South,TRE,1,1048639
2019,6,South,WECC,1,365618
2019,7,Northwest,,1,21693
2019,7,Northwest,WECC,6,5085720
2018,0,Multiple or Unknown,WECC,2,1933597
2018,1,Northeast,NPCC,3,3437647
2018,2,Mid-Atlantic,RFC,25,19709300
2018,2,Mid-Atlantic,SERC,2,986434
2018,3,Southeast,,1,205877
2018,3,Southeast,FRCC,1,1794722
2018,3,Southeast,SERC,1,455640
2018,4,Midwest,MRO,7,2766869
2018,4,Midwest,RFC,7,10621838
2018,4,Midwest,SERC,1,1244276
2018,4,Midwest,WECC,1,71239
2018,5,Southwest,SPP RE,2,622555
2018,5,Southwest,WECC,9,17231539
2018,6,South,SERC,6,3720449
2018,6,South,SPP RE,3,2676098
2018,6,South,TRE,1,1036443
2018,6,South,WECC,1,361611
2018,7,Northwest,,1,21533
2018,7,Northwest,WECC,6,5023884
2017,0,Multiple or Unknown,WECC,2,1900047
2017,1,Northeast,NPCC,5,4828956
2017,2,Mid-Atlantic,RFC,25,19581184
2017,2,Mid-Atlantic,SERC,2,980377
2017,3,Southeast,,1,203810
2017,3,Southeast,FRCC,1,1777249
2017,3,Southeast,SERC,1,454609
2017,4,Midwest,MRO,7,2744196
2017,4,Midwest,RFC,7,10532488
2017,4,Midwest,SERC,1,1239479
