Year,Date,RegionCode,RegionName,NERC,UtilitiesWithOutage,Outages,CI,CMI
2023,2023-12-25,4,Midwest,MRO,1,5,12,2303.782
2023,2023-12-25,7,Northwest,WECC,1,136,46993,17190408.78
2023,2023-12-18,1,Northeast,NPCC,2,1624,250667,181573843
2023,2023-12-18,2,Mid-Atlantic,RFC,3,882,92280,38216278
2023,2023-12-17,3,Southeast,FRCC,1,638,37661,4393619.75
2023,2023-12-04,7,Northwest,,1,11,4785,1177633.83
2023,2023-11-27,4,Midwest,MRO,1,1,680,110262
2023,2023-11-11,7,Northwest,WECC,2,674,179476,70555355.78
2023,2023-11-10,7,Northwest,WECC,1,147,100044,46687587.81
2023,2023-11-05,7,Northwest,WECC,1,43,7457,787506.55
2023,2023-11-04,5,Southwest,WECC,1,3,86,8736.6
2023,2023-10-31,4,Midwest,RFC,1,576,57573,51079361
2023,2023-10-25,7,Northwest,WECC,1,207,26931,13579348.17
2023,2023-10-24,7,Northwest,WECC,1,146,62110,18478533.97
2023,2023-10-12,3,Southeast,FRCC,1,399,20696,4602006.8
2023,2023-10-04,4,Midwest,MRO,1,14,2072,416194.2
2023,2023-10-04,6,South,SPP RE,1,155,10578,2632451
2023,2023-10-03,4,Midwest,MRO,1,15,863,301475.8
2023,2023-09-29,4,Midwest,MRO,1,35,1857,284166.5
2023,2023-09-25,6,South,SPP RE,1,530,18348,13236512
2023,2023-09-25,7,Northwest,,1,5,157,4522.08
2023,2023-09-24,6,South,SPP RE,1,429,36425,19745169
2023,2023-09-20,6,South,SPP RE,1,108,3349,301205
2023,2023-09-12,5,Southwest,WECC,1,82,35591,8459609
2023,2023-09-09,2,Mid-Atlantic,RFC,1,226,15215,4599757
2023,2023-09-09,5,Southwest,WECC,1,173,56656,32860292
2023,2023-09-08,1,Northeast,NPCC,1,348,40491,56263155
2023,2023-09-07,1,Northeast,NPCC,1,263,44721,24527289
2023,2023-09-07,2,Mid-Atlantic,RFC,3,983,72768,38395278
2023,2023-09-02,3,Southeast,FRCC,1,280,6716,4770208.45
2023,2023-08-31,3,Southeast,FRCC,1,279,9162,5017950.43
2023,2023-08-31,5,Southwest,WECC,1,247,92770,8013531
2023,2023-08-30,3,Southeast,FRCC,1,2283,127254,161202259.4
2023,2023-08-27,6,South,SPP RE,1,317,33769,22776684
2023,2023-08-26,2,Mid-Atlantic,RFC,1,118,7098,8874151
2023,2023-08-25,2,Mid-Atlantic,RFC,4,2149,284045,359728471
2023,2023-08-25,4,Midwest,RFC,2,1490,83898,99338784.77
2023,2023-08-24,2,Mid-Atlantic,RFC,2,482,36376,22452190
2023,2023-08-24,4,Midwest,RFC,2,5137,497974,940035135.4
