Year,Date,RegionCode,RegionName,NERC,UtilitiesWithOutage,Outages,CI,CMI
2023,2023-12-25,4,Midwest,MRO,1,3,4321,638431.619
2023,2023-12-25,7,Northwest,WECC,0,0,0,0
2023,2023-12-18,1,Northeast,NPCC,1,23,36044,36885370.68
2023,2023-12-18,2,Mid-Atlantic,RFC,2,12,31418,13989468
2023,2023-12-17,3,Southeast,FRCC,1,16,4312,976020
2023,2023-12-04,7,Northwest,,0,0,0,0
2023,2023-11-27,4,Midwest,MRO,1,1,9278,363914.3
2023,2023-11-11,7,Northwest,WECC,2,8,20550,694717.6
2023,2023-11-10,7,Northwest,WECC,1,4,2841,20404.5
2023,2023-11-05,7,Northwest,WECC,1,18,40470,12682163.21
2023,2023-11-04,5,Southwest,WECC,1,20,31024,5985021
2023,2023-10-31,4,Midwest,RFC,0,0,0,0
2023,2023-10-25,7,Northwest,WECC,1,1,5,2400
2023,2023-10-24,7,Northwest,WECC,1,3,470,48502.24
2023,2023-10-12,3,Southeast,FRCC,0,0,0,0
2023,2023-10-04,4,Midwest,MRO,0,0,0,0
2023,2023-10-04,6,South,SPP RE,0,0,0,0
2023,2023-10-03,4,Midwest,MRO,0,0,0,0
2023,2023-09-29,4,Midwest,MRO,1,1,2083,78577.3
2023,2023-09-25,6,South,SPP RE,0,0,0,0
2023,2023-09-25,7,Northwest,,1,3,8295,1975809.63
2023,2023-09-24,6,South,SPP RE,1,3,2286,288678
2023,2023-09-20,6,South,SPP RE,1,68,71275,17861940
2023,2023-09-12,5,Southwest,WECC,0,0,0,0
2023,2023-09-09,2,Mid-Atlantic,RFC,0,0,0,0
2023,2023-09-09,5,Southwest,WECC,1,6,18409,6764875
2023,2023-09-08,1,Northeast,NPCC,1,7,25034,27979595
2023,2023-09-07,1,Northeast,NPCC,1,6,5865,4010592
2023,2023-09-07,2,Mid-Atlantic,RFC,3,27,26552,860531
2023,2023-09-02,3,Southeast,FRCC,0,0,0,0
2023,2023-08-31,3,Southeast,FRCC,0,0,0,0
2023,2023-08-31,5,Southwest,WECC,0,0,0,0
2023,2023-08-30,3,Southeast,FRCC,1,4,479,2216558.3
2023,2023-08-27,6,South,SPP RE,0,0,0,0
2023,2023-08-26,2,Mid-Atlantic,RFC,1,2,125,48106
2023,2023-08-25,2,Mid-Atlantic,RFC,3,38,24580,5534128
2023,2023-08-25,4,Midwest,RFC,0,0,0,0
2023,2023-08-24,2,Mid-Atlantic,RFC,0,0,0,0
2023,2023-08-24,4,Midwest,RFC,1,21,12644,42834684
2023,2023-08-23,2,Mid-Atlantic,RFC,1,7,12629,1545490
2023,2023-08-22,6,South,TRE,1,5,4261,38349
2023,2023-08-14,6,South,SPP RE,1,6,3566,79763
2023,2023-08-13,2,Mid-Atlantic,RFC,1,2,2673,34749
2023,2023-08-12,2,Mid-Atlantic,RFC,1,11,9272,2131365
2023,2023-08-12,6,South,SERC,0,0,0,0
2023,2023-08-11,6,South,SPP RE,0,0,0,0
