Date,Year,CI,CMI,total_customers,rolling_CI,rolling_CMI,SAIFI,CAIDI,SAIDI
2003-07-02,2003,214961,27211539.449,66080769,72337324,19410962721.0934,1.0946804205623,268.339518905806,293.746017409292
2003-07-03,2003,174595,18754995.7157,66080769,72260057,19373932860.5454,1.09351113937551,268.113999142644,293.185644684998
2003-07-04,2003,552445,287528307.032,66080769,72234382,19331979746.5604,1.09312259970825,267.628506139367,292.550768387099
2003-07-05,2003,320588,73661778.446,66080769,72184132,19326398219.2054,1.0923621666691,267.737488610453,292.466303157056
2003-07-06,2003,375838,73164095.065,66080769,72253501,19324209052.2164,1.09341192745502,267.450141304799,292.433174502198
2003-07-07,2003,696537,493267790.284,66080769,72314554,19368441048.9164,1.09433584224784,267.836002264723,293.10253712266
2003-07-08,2003,938103,486349248.786,66080769,72452584,19413516576.5984,1.09642464965866,267.94788404784,293.784664893933
2003-07-09,2003,373281,124940698.488,66080769,72722400,19615041798.8344,1.10050777405451,269.724896302025,296.834345236424
2003-07-10,2003,386809,119439658.333,66080769,72730572,19644274594.8894,1.10063144089622,270.096522750975,297.276725016463
2003-07-11,2003,274360,35626180.751,66080769,72769515,19647573245.6054,1.10122076515181,269.997309252445,297.326643483907
2003-07-12,2003,187503,32045296.696,66080769,72815229,19657124974.5054,1.10191255492199,269.958980346067,297.471189757271
2003-07-13,2003,225032,28452108.484,66080769,72821067,19661457998.7374,1.1020009013515,269.996840320088,297.536761394793
2003-07-14,2003,162890,16675590.717,66080769,72845843,19662381409.5164,1.10237583645554,269.917686442539,297.550735366236
2003-07-15,2003,383633,117322750.464,66080769,72903966,19668500302.0344,1.10325541157065,269.786424267157,297.643332541036
2003-07-16,2003,224221,30751964.47,66080769,72943054,19672650044.9674,1.10384693011063,269.69874396769,297.706130583429
2003-07-17,2003,266908,43481351.28,66080769,72974778,19678653546.3514,1.10432700926952,269.663767203943,297.796981544682
2003-07-18,2003,329070,49310754.403,66080769,72955797,19677372876.4994,1.10403976987616,269.716371908039,297.777601173186
2003-07-19,2003,213345,36846258.704,66080769,72928534,19679128115.3534,1.10362719901156,269.841268375879,297.804163195398
2003-07-20,2003,229329,37802667.205,66080769,72895048,19673054434.1214,1.10312045551407,269.881905203237,297.7122502028
2003-07-21,2003,726792,384056452.773,66080769,72942432,19676016123.2214,1.10383751738724,269.747190815099,297.757069431523
2003-07-22,2003,411202,122411261.664,66080769,72930522,19677059228.4294,1.10365728340722,269.805544905183,297.772854738258
2003-07-23,2003,253756,40131610.917,66080769,72967181,19679698249.1124,1.1042120439004,269.706160761677,297.812791027181
2003-07-24,2003,209185,23027302.101,66080769,72974486,19674080853.4304,1.10432259043475,269.602184706452,297.727783001896
2003-07-25,2003,178513,26902748.421,66080769,72862801,19654750180.5474,1.10263246179838,269.750131902662,297.435252010269
2003-07-26,2003,158916,18852015.136,66080769,72831533,19648095183.4314,1.10215928328558,269.774565687522,297.334541966838
2003-07-27,2003,334449,58280602.368,66080769,72935019,19636748825.7524,1.10372533648935,269.236220062579,297.162837583691
2003-07-28,2003,216894,24061281.675,66080769,72931531,19638231044.8294,1.10367255259999,269.269419900556,297.185267998764
2003-07-29,2003,241216,27256505.499,66080769,73074866,19649568911.4464,1.10584164055355,268.896407027916,297.356843886705
2003-07-30,2003,219801,22897690.415,66080769,73113619,19655053395.3944,1.10642808953994,268.828894865598,297.439840559277
2003-07-31,2003,159431,16949667.733,66080769,73080252,19655461808.1954,1.10592314686895,268.957225382794,297.446021068481
2003-08-01,2003,355208,74760069.905,66080769,73151878,19671301114.3074,1.1070070628264,268.910404655741,297.685717221411
2003-08-02,2003,264141,42278532.817,66080769,73110505,19674459725.7694,1.10638096539101,269.105783440689,297.733516475412
2003-08-03,2003,278151,42796179.581,66080769,73046936,19665789123.5744,1.10541897598074,269.221273340943,297.602304288777
2003-08-04,2003,326185,41532024.931,66080769,73050430,19666287561.4214,1.10547185066808,269.215219697152,297.609847146624
2003-08-05,2003,207860,29726536.325,66080769,73103460,19675739275.5044,1.10627435343557,269.149220508912,297.752879896183
2003-08-06,2003,218746,22045008.119,66080769,72862048,19650545312.8724,1.10262106665254,269.69520967723,297.371619765387
2003-08-07,2003,268305,28262329.535,66080769,73033787,19783647232.2854,1.10521999221892,270.883491667841,299.385850553365
2003-08-08,2003,173945,17557561.299,66080769,73225899,19909124632.1254,1.10812722230881,271.886380420204,301.284699518636
2003-08-09,2003,183392,24489128.646,66080769,73237551,19923924522.0441,1.10830355197592,272.045204270199,301.508666190675
2003-08-10,2003,150388,19797483.622,66080769,73265368,19901470512.3621,1.1087245065202,271.635440531222,301.168869756375
2003-08-11,2003,276132,23453765.127,66080769,73293714,19895420397.3151,1.10915346641925,271.447840633579,301.077313390755
2003-08-12,2003,170968,17436990.381,66080769,73297169,19894110562.5641,1.10920575091976,271.417175233113,301.057491666964
2003-08-13,2003,170484,18471557.152,66080769,73255288,19886152095.2441,1.10857196592249,271.463707783718,300.937056214405
2003-08-14,2003,3853895,3871060733.579,66080769,73121971,19865711638.2251,1.10655448032089,271.679105015168,300.627730864105
2003-08-15,2003,431549,55120017.397,66080769,73110873,19866472790.5921,1.10638653433346,271.730755979239,300.639249379681
2003-08-16,2003,291904,48841655.996,66080769,73048184,19865548748.5571,1.10543786195951,271.951302013984,300.625265855443
2003-08-17,2003,249965,28093895.078,66080769,73039225,19909319331.6201,1.1053022854501,272.583934613492,301.287645905272
2003-08-18,2003,124434,13074915.149,66080769,72687047,19091710381.3181,1.09997277725385,262.656293924255,288.914773091065
2003-08-19,2003,111189,11865047.602,66080769,72594734,18946375119.5821,1.0985758050122,260.988284902072,286.715415185046
2003-08-20,2003,138219,14161389.919,66080769,72536491,18800433885.8501,1.09769441393759,259.185874952927,284.506887107353
2003-08-21,2003,399842,52748590.858,66080769,72495461,18690425729.0671,1.09707350711975,257.815116577672,282.842134132354
2003-08-22,2003,264031,37914209.731,66080769,72598777,18608248979.7001,1.09863698771423,256.316287252333,281.598553728999
2003-08-23,2003,139322,19231075.962,66080769,72555627,18556331786.2221,1.09798399894529,255.753172475818,280.812891057943
2003-08-24,2003,127345,13503726.097,66080769,72335382,18480255341.8221,1.09465103228445,255.480165181434,279.661626544057
2003-08-25,2003,195378,23522982.781,66080769,72172674,18442103669.6071,1.09218877280317,255.52750989394,279.084277448513
2003-08-26,2003,757818,273499237.606,66080769,72143480,18431102210.2891,1.09174698012367,255.47841898241,278.917792410816
2003-08-27,2003,415604,109180242.133,66080769,72111184,18407087272.7711,1.09125824489119,255.259812025429,278.554374462124
2003-08-28,2003,216500,37365899.478,66080769,72076247,18378966068.4621,1.09072954341678,254.993383166331,278.128816395313
2003-08-29,2003,231734,30474682.177,66080769,72026503,18366471800.6281,1.08997676767351,254.996022792167,277.939740692608
2003-08-30,2003,257486,32713756.482,66080769,71970555,18352188503.1421,1.08913010682427,254.995789641223,277.723591611685
2003-08-31,2003,161006,20394550.935,66080769,71976791,18352422170.0621,1.08922447618611,254.976943471432,277.727127692205
2003-09-01,2003,277208,34138172.752,66080769,72030485,18358859165.0261,1.0900370272628,254.876239761902,277.824538709985
2003-09-02,2003,215706,23548394.307,66080769,72067187,18358692723.8421,1.0905924384748,254.744128195847,277.822019956246
2003-09-03,2003,200122,25256213.95,66080769,72087607,18357061957.6431,1.09090145424912,254.649345727943,277.7973415782
2003-09-04,2003,205709,20078490.916,66080769,72227573,18373136333.8301,1.09301955913982,254.378426004015,278.040595045589
2003-09-05,2003,159285,13047615.983,66080769,72768262,18491433192.7771,1.10120180350807,254.113987122258,279.830780915656
2003-09-06,2003,109632,13725019.934,66080769,72880074,18505384911.6271,1.1028938540349,253.915561496646,280.041912218472
2003-09-07,2003,92759,12579750.047,66080769,72921520,18522789519.4451,1.10352105617899,254.009920794919,280.305296075551
