NERC,Date,max_customer,daily_ci,daily_ci_3day_avg,customer_minutes
SERC,2014-10-31,2796,3624,0,92265
SERC,2014-11-02,36958,41957,91620.6666666666,4508580
SERC,2014-11-03,40753,49614,50846,3570480
SERC,2014-11-04,45501,60967,56276.3333333333,2861820
SERC,2014-11-05,38321,58248,63028.3333333333,5039370
SERC,2014-11-06,59948,69870,60313.6666666667,6612330
SERC,2014-11-07,24486,52823,48152,3504690
SERC,2014-11-08,18748,21763,37951.6666666667,2655510
SERC,2014-11-09,35315,39269,37306,3398205
SERC,2014-11-10,42072,50886,43435.3333333334,4378935
SERC,2014-11-11,33850,40151,40923.3333333334,3815940
SERC,2014-11-12,26364,31733,37184,2529960
SERC,2014-11-13,30366,39668,41907.0000000001,3731100
SERC,2014-11-14,47375,54320,42229,5059275
SERC,2014-11-15,29316,32699,52653,4848675
SERC,2014-11-16,50689,70940,82687.6666666667,7343790
SERC,2014-11-17,113644,144424,90321.3333333334,12784410
SERC,2014-11-18,42757,55600,96305.3333333334,4971210
SERC,2014-11-19,69110,88892,62625.3333333334,9322695
SERC,2014-11-20,38202,43384,54527.3333333334,3471450
SERC,2014-11-21,26442,31306,33301,2613750
SERC,2014-11-22,20830,25213,65134.3333333334,2116335
SERC,2014-11-23,111604,138884,102531,15403710
SERC,2014-11-24,88794,143496,110111.666666667,12995760
SERC,2014-11-25,40305,47955,84216.3333333334,4246290
SERC,2014-11-26,52573,61198,44807.3333333333,5141520
SERC,2014-11-27,22900,25269,34674.3333333333,2663175
SERC,2014-11-28,14344,17556,24375.6666666667,1802835
SERC,2014-11-29,24051,30302,23827.3333333333,2781345
SERC,2014-11-30,20774,23624,40253.3333333334,2075130
SERC,2014-12-01,47706,66834,43554.6666666667,3843915
SERC,2014-12-02,32791,40206,51922.6666666666,3499455
SERC,2014-12-03,44527,48728,39552.6666666667,3274155
SERC,2014-12-04,24627,29724,41584,2299170
SERC,2014-12-05,37533,46300,42766,3959130
SERC,2014-12-06,43586,52274,55013.6666666667,5005905
SERC,2014-12-07,54256,66467,49783.6666666666,5191890
