year,NERC,total_customers,min_covered,max_covered
2018,SERC,32822550.6068409,23880866.3541328,27235648.9960983
2020,SERC,33458549.4500835,28671671.5346033,29453952.2790272
2022,SERC,33666471.0144199,29506784.7409232,30310166.1748554
2019,SERC,32948305.5458049,24864053.4649465,29067737.6240678
2021,SERC,33400296.5439628,27151907.3042661,29947854.6639093
2022,WECC,33068591.756461,29736238.7389867,30123004.7129972
2018,WECC,32260837.6012237,19846609.7912623,27426392.5259847
2019,WECC,32798427.5547978,25241167.0572565,29262364.2913039
2020,WECC,32889381.0771638,28585690.911841,29577398.9614754
2021,WECC,32754806.2616246,28995002.9738511,29809029.1053465
2021,SPP,6647846.0718638,4622632.30202501,5957544.72197952
2020,SPP,6846802.42128821,5706673.86442253,5846179.22265601
2018,SPP,6877413.69339704,5324583.70831894,5664623.61145633
2022,SPP,7187175.42560948,5856803.80679639,6006098.3416169
2019,SPP,6875946.739823,5056592.70112702,5983088.35331764
2021,NPCC,15317805.5471508,14953313.3848827,15068255.9916547
2022,NPCC,15465767.1166834,15065588.9916547,15223575.1503319
2019,NPCC,15328680.9199394,14345578.0659825,14710507.4910361
2020,NPCC,15461794.0203317,14513239.5535364,15033392.3848827
2018,NPCC,15303413.9199394,14083833.4910361,14618891.4910361
2022,RFC,35336520.4593269,32865580.092322,33698920.1660116
2019,RFC,34845261.2543362,31401301.2626502,32925436.8337702
2018,RFC,34868065.31818,29297055.6063045,32218721.0389666
2021,RFC,35166015.0299978,33206676.1454583,33469497.2985493
2020,RFC,35104750.2753249,32805079.1736701,33231176.1854638
2018,FRCC,9651104.67818489,8338554.16855653,9367362.20994929
2022,FRCC,10432227.0936672,10026840.8403374,10222331.7117112
2021,FRCC,10295950.968642,9115339.28280979,10055898.5752076
2019,FRCC,9972946.85857384,9072576.66331628,9655579.62631223
2020,FRCC,10108816.6879269,9559104.33924527,9840188.79841074
2018,MRO,8212422.75676295,4899123.76904489,5864386.06797948
2022,MRO,8224568.82849117,6455786.50719067,6517066.1252391
2020,MRO,8170530.36854577,6003710.57940397,6403625.02447335
2019,MRO,8149387.70125378,4593762.73062654,6083157.5224346
2021,MRO,8226689.19392555,6398859.29151896,6462967.94862461
2018,TRE,16049746.425471,12958565.111344,14492921.0585292
2019,TRE,16049746.425471,9484658.05409448,14979228.2577576
2022,TRE,12707751.3053409,10844552.2817889,11877927.6172367
2020,TRE,16970210.6993352,10308708.0432775,10640536.1436108
2021,TRE,12804237.3828326,10435544.315188,11974413.6947284
